#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    <u^2>                   <v^2>                   <w^2>
1130151      0.116840082661E+03       0.535607038561E+00      0.450453508304E+00      0.446098916973E+00
1130198      0.116860256387E+03       0.530968242655E+00      0.446011216901E+00      0.442164767590E+00
1130246      0.116880255669E+03       0.526454398023E+00      0.441657636620E+00      0.438299513732E+00
1130295      0.116900139614E+03       0.522045610568E+00      0.437382632669E+00      0.434489845016E+00
1130345      0.116920122828E+03       0.517688113292E+00      0.433143415752E+00      0.430695390794E+00
1130396      0.116940386272E+03       0.513337304744E+00      0.428906182423E+00      0.426885085586E+00
1130445      0.116960147914E+03       0.509152555692E+00      0.424835813704E+00      0.423208379837E+00
1130493      0.116980069875E+03       0.504984765443E+00      0.420796386173E+00      0.419544116798E+00
1130540      0.117000181128E+03       0.500822126489E+00      0.416785682330E+00      0.415890665130E+00
1130585      0.117020078553E+03       0.496741599106E+00      0.412885752383E+00      0.412323001308E+00
1130630      0.117040266964E+03       0.492634154512E+00      0.408999465609E+00      0.408752100219E+00
1130674      0.117060073041E+03       0.488631966737E+00      0.405256660204E+00      0.405297480362E+00
1130718      0.117080071780E+03       0.484615127064E+00      0.401547417281E+00      0.401858591525E+00
1130762      0.117100374191E+03       0.480560500998E+00      0.397852360509E+00      0.398418296373E+00
1130804      0.117120137535E+03       0.476635935697E+00      0.394321328527E+00      0.395118210561E+00
