#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     b_11                    b_22                    b_33
1130151      0.116840082661E+03       0.406522821551E-01     -0.188058525058E-01     -0.218464296492E-01
1130198      0.116860256387E+03       0.408134464642E-01     -0.190515229508E-01     -0.217619235134E-01
1130246      0.116880255669E+03       0.409912366201E-01     -0.193017562108E-01     -0.216894804093E-01
1130295      0.116900139614E+03       0.411833724670E-01     -0.195540400201E-01     -0.216293324470E-01
1130345      0.116920122828E+03       0.413883647084E-01     -0.198081971000E-01     -0.215801676084E-01
1130396      0.116940386272E+03       0.416039186970E-01     -0.200638632788E-01     -0.215400554182E-01
1130445      0.116960147914E+03       0.418168105053E-01     -0.203088481624E-01     -0.215079623429E-01
1130493      0.116980069875E+03       0.420292479690E-01     -0.205492088895E-01     -0.214800390795E-01
1130540      0.117000181128E+03       0.422367451280E-01     -0.207827826785E-01     -0.214539624496E-01
1130585      0.117020078553E+03       0.424308533133E-01     -0.210025778631E-01     -0.214282754502E-01
1130630      0.117040266964E+03       0.426125785193E-01     -0.212119027800E-01     -0.214006757392E-01
1130674      0.117060073041E+03       0.427728796183E-01     -0.214021497052E-01     -0.213707299131E-01
1130718      0.117080071780E+03       0.429144731413E-01     -0.215780320437E-01     -0.213364410977E-01
1130762      0.117100374191E+03       0.430363205806E-01     -0.217397776360E-01     -0.212965429446E-01
1130804      0.117120137535E+03       0.431339035650E-01     -0.218816573630E-01     -0.212522462020E-01
